wall_time,elapsed_s,step_index,command_index,r1,raw_l2,raw_r2,action_x,action_y,action_z,action_rx,action_ry,action_rz,command_x,command_y,command_z,command_qx,command_qy,command_qz,command_qw,before_x,before_y,before_z,before_qx,before_qy,before_qz,before_qw,measured_x,measured_y,measured_z,measured_qx,measured_qy,measured_qz,measured_qw,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,target_error_x_mm,target_error_y_mm,target_error_z_mm,from_origin_x_mm,from_origin_y_mm,from_origin_z_mm,step_x_mm,step_y_mm,step_z_mm,down_from_origin_mm,down_step_mm,cross_total_mm,cross_step_mm,orientation_error_deg,stable_samples,result
2026-09-04T13:22:49.936+02:00,5.668919,1,1,1,0.999969482421875,0.0,-0.0,0.0,-0.9999834299087524,-0.0,-0.0,0.0,0.37269622118687246,-0.012014815049522287,0.03226565988295066,0.03341352440242323,0.9828090734707452,0.04203988889493484,-0.17664232004897784,0.37269629023659956,-0.012014640960383526,0.033265681719122975,0.03341335743709929,0.9828090643967816,0.042039972791904016,-0.17664238215094186,0.37268215247484315,-0.012003665896339015,0.0332349561988419,0.03341504952496938,0.9828050898084659,0.04206099728295724,-0.17665917021026756,-0.42927116103087726,1.14236717739053,-0.6323644649598879,-1.220350685957331,0.4005858521352242,1.2436751035471965,-0.954471907917987,-0.014068712029302599,0.011149153183271851,0.9692963158912382,-0.014068712029302599,0.011149153183271851,-0.030703684108762674,-0.014068712029302599,0.011149153183271851,-0.030703684108762674,0.030703684108762674,0.030703684108762674,0.017950829364335914,0.017950829364335914,0.0031333771980211174,0,
2026-09-04T13:22:49.989+02:00,5.721081,1,2,1,0.999969482421875,0.0,-0.0,0.0,-0.9999834299087524,-0.0,-0.0,0.0,0.37269622118687246,-0.012014815049522287,0.03226565988295066,0.03341352440242323,0.9828090734707452,0.04203988889493484,-0.17664232004897784,0.37268215247484315,-0.012003665896339015,0.0332349561988419,0.03341504952496938,0.9828050898084659,0.04206099728295724,-0.17665917021026756,0.3725940417365382,-0.01189305482770351,0.032902711524837785,0.03351095372149498,0.982783382460954,0.042326019099880326,-0.17669846418811533,-0.4295272039955541,1.1428490630151715,-0.6320747463036259,-1.2203400799187158,0.4008746240158166,1.2436267472367746,-0.9544674139133293,-0.10217945033424991,0.12176022181877716,0.6370516418871264,-0.10217945033424991,0.12176022181877716,-0.3629483581128745,-0.10217945033424991,0.12176022181877716,-0.3629483581128745,0.3629483581128745,0.3629483581128745,0.15895342615988892,0.15895342615988892,0.0353520362997667,0,
2026-09-04T13:22:50.041+02:00,5.773143,1,3,1,0.999969482421875,0.0,-0.0,0.0,-0.9999834299087524,-0.0,-0.0,0.0,0.37269622118687246,-0.012014815049522287,0.03226565988295066,0.03341352440242323,0.9828090734707452,0.04203988889493484,-0.17664232004897784,0.3725940417365382,-0.01189305482770351,0.032902711524837785,0.03351095372149498,0.982783382460954,0.042326019099880326,-0.17669846418811533,0.3726615419994356,-0.01175757237950535,0.032250276593705385,0.03387001276450557,0.9828290282243145,0.04277207813464978,-0.1762681844435499,-0.4301264153430874,1.14365110725631,-0.6315101694879356,-1.2202754250692405,0.4021925053788366,1.2430144131949281,-0.9544733460692908,-0.034679187436881254,0.2572426700169373,-0.015383289245274323,-0.034679187436881254,0.2572426700169373,-1.0153832892452752,-0.034679187436881254,0.2572426700169373,-1.0153832892452752,1.0153832892452752,1.0153832892452752,0.2595697157195446,0.2595697157195446,0.10779274237365075,0,
2026-09-04T13:22:50.093+02:00,5.825492,1,4,1,0.999969482421875,0.0,-0.0,0.0,-0.9999834299087524,-0.0,-0.0,0.0,0.37269622118687246,-0.012014815049522287,0.03226565988295066,0.03341352440242323,0.9828090734707452,0.04203988889493484,-0.17664232004897784,0.3726615419994356,-0.01175757237950535,0.032250276593705385,0.03387001276450557,0.9828290282243145,0.04277207813464978,-0.1762681844435499,0.37258700726539346,-0.011768258898401827,0.031854357781739034,0.03390953203622621,0.98283534856036,0.04301299919521912,-0.17616669139639282,-0.43054322658473465,1.1442827359130374,-0.6313153658724712,-1.2201198697634963,0.40277493867992087,1.242759149192513,-0.9548359288402477,-0.10921392147900111,0.2465561511204601,-0.4113021012116247,-0.10921392147900111,0.2465561511204601,-1.4113021012116256,-0.10921392147900111,0.2465561511204601,-1.4113021012116256,1.4113021012116256,1.4113021012116256,0.26966204089592694,0.26966204089592694,0.1365458511932782,0,
2026-09-04T13:22:50.145+02:00,5.877522,1,5,1,0.999969482421875,0.0,-0.0,0.0,-0.9999834299087524,-0.0,-0.0,0.0,0.37269622118687246,-0.012014815049522287,0.03226565988295066,0.03341352440242323,0.9828090734707452,0.04203988889493484,-0.17664232004897784,0.3725661849275528,-0.011785626525327334,0.03182183906048219,0.033870756179745234,0.9828327513756511,0.043026145733010994,-0.17618542925719402,0.37258591717160505,-0.011870752170947432,0.031801020425227006,0.03384629662295103,0.9828380070930275,0.042986622587896706,-0.1761704580705944,-0.43069207066317244,1.1444906622228153,-0.6313312449870888,-1.219839858410368,0.4027768560986371,1.2427604075749035,-0.9549862109609062,-0.11030401526740397,0.14406287857485559,-0.46463945772365345,-0.11030401526740397,0.14406287857485559,-1.4646394577236543,-0.11030401526740397,0.14406287857485559,-1.4646394577236543,1.4646394577236543,1.4646394577236543,0.1814416952284818,0.1814416952284818,0.13101015467309082,0,
2026-09-04T13:22:50.197+02:00,5.9293,1,6,1,0.999969482421875,0.0,-0.0,0.0,-0.9999834299087524,-0.0,-0.0,0.0,0.37269622118687246,-0.012014815049522287,0.03226565988295066,0.03341352440242323,0.9828090734707452,0.04203988889493484,-0.17664232004897784,0.37258591717160505,-0.011870752170947432,0.031801020425227006,0.03384629662295103,0.9828380070930275,0.042986622587896706,-0.1761704580705944,0.372672221574446,-0.011910254473021959,0.031845942634224605,0.033807082796633935,0.9828533882498709,0.04293137348771989,-0.17610563741399113,-0.43068344208259984,1.1444628588005816,-0.6313332823317414,-1.2196743562550507,0.40278385486893764,1.2427640028440796,-0.9549862109609062,-0.023999612426439665,0.10456057650032845,-0.41971724872605365,-0.023999612426439665,0.10456057650032845,-1.4197172487260545,-0.023999612426439665,0.10456057650032845,-1.4197172487260545,1.4197172487260545,1.4197172487260545,0.10727952066774141,0.10727952066774141,0.12758447195452527,0,
2026-09-04T13:22:50.249+02:00,5.981169,1,7,1,0.999969482421875,0.0,-0.0,0.0,-0.9999834299087524,-0.0,-0.0,0.0,0.37269622118687246,-0.012014815049522287,0.03226565988295066,0.03341352440242323,0.9828090734707452,0.04203988889493484,-0.17664232004897784,0.372672221574446,-0.011910254473021959,0.031845942634224605,0.033807082796633935,0.9828533882498709,0.04293137348771989,-0.17610563741399113,0.37269733938398475,-0.01190104478527076,0.03185491149272088,0.03379777148755394,0.9828571629534117,0.04292800863753201,-0.17608717712559802,-0.4306543203913657,1.1444463804926153,-0.6313360986386555,-1.2196666862965697,0.402809261452326,1.2427640028440796,-0.9549862109609062,0.0011181971122931067,0.1137702642515278,-0.4107483902297815,0.0011181971122931067,0.1137702642515278,-1.4107483902297824,0.0011181971122931067,0.1137702642515278,-1.4107483902297824,1.4107483902297824,1.4107483902297824,0.1137757592488154,0.1137757592488154,0.12795823699134976,0,
2026-09-04T13:22:50.301+02:00,6.03321,1,8,1,0.999969482421875,0.0,-0.0,0.0,-0.9999834299087524,-0.0,-0.0,0.0,0.37269622118687246,-0.012014815049522287,0.03226565988295066,0.03341352440242323,0.9828090734707452,0.04203988889493484,-0.17664232004897784,0.37269733938398475,-0.01190104478527076,0.03185491149272088,0.03379777148755394,0.9828571629534117,0.04292800863753201,-0.17608717712559802,0.372695470342123,-0.011908329229334422,0.03185951139574561,0.03381051742452931,0.9828580561132356,0.04292328029729638,-0.17608089746851377,-0.430653181891278,1.1444451221102248,-0.6313631829852372,-1.2196675252545244,0.4028356267450725,1.2427627444616889,-0.9549870499188609,-0.000750844749430879,0.10648582018786545,-0.40614848720504915,-0.000750844749430879,0.10648582018786545,-1.40614848720505,-0.000750844749430879,0.10648582018786545,-1.40614848720505,1.40614848720505,1.40614848720505,0.10648846730477514,0.10648846730477514,0.128402824185182,0,
2026-09-04T13:22:50.353+02:00,6.085165,1,9,1,0.999969482421875,0.0,-0.0,0.0,-0.9999834299087524,-0.0,-0.0,0.0,0.37269622118687246,-0.012014815049522287,0.03226565988295066,0.03341352440242323,0.9828090734707452,0.04203988889493484,-0.17664232004897784,0.372695470342123,-0.011908329229334422,0.03185951139574561,0.03381051742452931,0.9828580561132356,0.04292328029729638,-0.17608089746851377,0.3726899701014487,-0.011923350733642582,0.0318686998698893,0.033831452297928125,0.9828591819697934,0.04291336061465715,-0.17607300966882475,-0.43065294223575507,1.1444433245301782,-0.6314122583713109,-1.2196669260611757,0.4028745514271163,1.2427627444616889,-0.9549900458856052,-0.006251085423736313,0.09146431587970551,-0.3969600130613593,-0.006251085423736313,0.09146431587970551,-1.3969600130613602,-0.006251085423736313,0.09146431587970551,-1.3969600130613602,1.3969600130613602,1.3969600130613602,0.09167768075337311,0.09167768075337311,0.12884504265581667,0,
2026-09-04T13:22:50.405+02:00,6.137247,1,10,1,0.999969482421875,0.0,-0.0,0.0,-0.9999834299087524,-0.0,-0.0,0.0,0.37269622118687246,-0.012014815049522287,0.03226565988295066,0.03341352440242323,0.9828090734707452,0.04203988889493484,-0.17664232004897784,0.3726918679367751,-0.011922583609918103,0.03186867982839847,0.03383297553973376,0.9828597399726235,0.042915078797052454,-0.176069183331205,0.37271006991128286,-0.011908895598180565,0.03186404231570586,0.03383217974909229,0.9828634082068565,0.04293100724352138,-0.17604497447664932,-0.4306426357392728,1.144442605454526,-0.6314099214845256,-1.2196672256033085,0.4029455940071212,1.242762444919556,-0.9550092806138759,0.013848724410403523,0.10591945134172213,-0.4016175672447997,0.013848724410403523,0.10591945134172213,-1.4016175672448006,0.013848724410403523,0.10591945134172213,-1.4016175672448006,1.4016175672448006,1.4016175672448006,0.10682095927451105,0.10682095927451105,0.13211061772179247,0,
