t,act_x,act_y,act_z,act_r,act_p,act_yaw,r1,tgt_x,tgt_y,tgt_z,tgt_qx,tgt_qy,tgt_qz,tgt_qw,mes_x,mes_y,mes_z,mes_qx,mes_qy,mes_qz,mes_qw,mes_roll,mes_pitch,mes_yaw,vel_x,vel_y,vel_z,vel_r,vel_p,vel_yaw,fx,fy,fz,tx,ty,tz,q0,q1,q2,q3,q4,q5,q6
0.008248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469139,-0.208962,0.218409,0.997902,-0.062303,0.017520,0.001497,0.469140,-0.208965,0.218410,0.997902,-0.062303,0.017521,0.001499,3.140783,-0.035163,-0.124691,-0.000177,-0.000936,0.000186,-0.000575,-0.000153,-0.002409,-2.033152,0.706469,0.917396,-0.476878,-1.443160,-0.027181,-0.557447,-0.038197,0.134722,-2.309877,0.019787,2.305781,0.474347
0.053853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469139,-0.208962,0.218409,0.997902,-0.062303,0.017520,0.001497,0.469138,-0.208962,0.218406,0.997902,-0.062302,0.017517,0.001495,3.140791,-0.035154,-0.124690,-0.000032,0.000778,-0.000595,0.002005,0.000051,-0.000957,-2.081550,0.696069,1.020381,-0.491039,-1.509509,-0.038455,-0.557448,-0.038193,0.134725,-2.309882,0.019794,2.305780,0.474344
0.104899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469139,-0.208962,0.218409,0.997902,-0.062303,0.017520,0.001497,0.469140,-0.208961,0.218408,0.997903,-0.062299,0.017519,0.001496,3.140789,-0.035157,-0.124685,0.000209,0.001074,-0.000031,0.001541,0.000487,0.001210,-2.065351,0.665095,0.905462,-0.457455,-1.451486,-0.048427,-0.557443,-0.038194,0.134724,-2.309878,0.019793,2.305778,0.474342
0.155966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469139,-0.208962,0.218409,0.997902,-0.062303,0.017520,0.001497,0.469142,-0.208961,0.218411,0.997903,-0.062297,0.017522,0.001499,3.140784,-0.035164,-0.124681,0.000746,0.000940,0.000635,-0.000246,-0.000386,0.002695,-2.064659,0.708452,0.963166,-0.486515,-1.473668,-0.030346,-0.557443,-0.038197,0.134727,-2.309875,0.019789,2.305780,0.474345
0.209948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469139,-0.208962,0.218409,0.997902,-0.062303,0.017520,0.001497,0.469139,-0.208964,0.218409,0.997903,-0.062300,0.017519,0.001498,3.140784,-0.035159,-0.124686,-0.000257,-0.000473,0.000481,-0.000799,-0.000488,0.000452,-2.047059,0.622016,0.914032,-0.442113,-1.445787,-0.067550,-0.557447,-0.038197,0.134723,-2.309880,0.019788,2.305780,0.474342
0.264674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469139,-0.208962,0.218409,0.997902,-0.062303,0.017520,0.001497,0.469140,-0.208962,0.218410,0.997903,-0.062300,0.017521,0.001497,3.140788,-0.035163,-0.124687,-0.000012,-0.000654,0.000416,0.000548,-0.001896,-0.001576,-2.034111,0.678832,0.931496,-0.465368,-1.446899,-0.040284,-0.557445,-0.038197,0.134724,-2.309879,0.019795,2.305781,0.474341
0.309463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469139,-0.208962,0.218409,0.997902,-0.062303,0.017520,0.001497,0.469140,-0.208963,0.218409,0.997903,-0.062300,0.017520,0.001497,3.140788,-0.035160,-0.124687,-0.000299,-0.000522,0.000372,0.000415,0.000426,-0.000638,-2.047841,0.659483,0.920880,-0.451047,-1.450176,-0.050352,-0.557448,-0.038194,0.134725,-2.309877,0.019793,2.305779,0.474341
0.355771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469139,-0.208962,0.218409,0.997902,-0.062303,0.017520,0.001497,0.469142,-0.208960,0.218408,0.997903,-0.062297,0.017519,0.001498,3.140786,-0.035159,-0.124680,0.000924,0.000298,0.001311,-0.001228,-0.002071,0.001157,-2.082402,0.674526,0.976988,-0.474276,-1.486143,-0.048579,-0.557444,-0.038193,0.134729,-2.309877,0.019789,2.305780,0.474345
0.403952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469139,-0.208962,0.218409,0.997902,-0.062303,0.017520,0.001497,0.469141,-0.208960,0.218409,0.997903,-0.062296,0.017520,0.001499,3.140784,-0.035161,-0.124677,0.000604,0.001126,0.000389,-0.000940,-0.000860,0.003301,-2.097007,0.720184,0.967156,-0.484970,-1.489066,-0.028623,-0.557441,-0.038198,0.134727,-2.309880,0.019788,2.305781,0.474343
0.455021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469139,-0.208962,0.218409,0.997902,-0.062303,0.017520,0.001497,0.469139,-0.208960,0.218408,0.997903,-0.062301,0.017519,0.001496,3.140790,-0.035159,-0.124688,-0.000199,0.000603,-0.000176,0.001043,0.000028,-0.001009,-2.047710,0.729232,0.988293,-0.497020,-1.478368,-0.015543,-0.557442,-0.038197,0.134725,-2.309883,0.019795,2.305781,0.474346
