step,ep,r1,l1,raw_ly,raw_lx,raw_r2,raw_l2,r2_ready,l2_ready,act0,act1,act2,contact,progress,paused,shielded,cmd_z,meas_x,meas_y,meas_z
0,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0046,0.0621
1,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2492,-0.0047,0.0605
2,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2491,-0.0048,0.0588
3,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2492,-0.0050,0.0575
4,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2492,-0.0050,0.0575
5,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2492,-0.0050,0.0575
6,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2492,-0.0050,0.0576
7,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
8,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
9,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
10,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
11,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
12,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
13,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
14,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
15,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
16,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
17,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
18,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
19,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
20,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
21,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
22,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
23,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
24,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
25,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
26,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
27,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
28,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
29,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
30,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
31,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
32,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
33,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0576,0.2493,-0.0050,0.0576
34,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.200,0,0,0.0576,0.2493,-0.0050,0.0576
35,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.400,0,0,0.0576,0.2493,-0.0049,0.0576
36,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.600,0,0,0.0576,0.2493,-0.0049,0.0576
37,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.800,0,0,0.0576,0.2492,-0.0048,0.0575
38,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0047,0.0575
39,0,1,0,0.016,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0046,0.0575
40,0,1,0,0.016,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0046,0.0575
41,0,1,0,0.016,0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0046,0.0575
42,0,1,0,0.016,0.024,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0046,0.0575
43,0,1,0,0.016,0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0046,0.0575
44,0,1,0,0.016,0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0046,0.0575
45,0,1,0,0.016,0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0046,0.0575
46,0,1,0,0.016,0.024,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0046,0.0575
47,0,1,0,0.016,0.693,0.000,0.000,0,0,-0.000,0.591,0.000,0,1.000,0,0,0.0576,0.2493,-0.0045,0.0575
48,0,1,0,-0.063,0.835,0.000,0.000,0,0,-0.000,0.780,0.000,0,1.000,0,0,0.0576,0.2498,-0.0042,0.0574
49,0,1,0,-0.063,0.220,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2504,-0.0039,0.0574
50,0,1,0,-0.032,0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2504,-0.0039,0.0574
51,0,1,0,-0.008,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2504,-0.0039,0.0575
52,0,1,0,0.000,0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2504,-0.0039,0.0575
53,0,1,0,-0.008,0.409,0.000,0.000,0,0,-0.000,0.213,0.000,0,1.000,0,0,0.0576,0.2505,-0.0039,0.0575
54,0,1,0,-0.008,0.512,0.000,0.000,0,0,-0.000,0.349,0.000,0,1.000,0,0,0.0576,0.2507,-0.0038,0.0574
55,0,1,0,-0.008,0.402,0.000,0.000,0,0,-0.000,0.202,0.000,0,1.000,0,0,0.0576,0.2510,-0.0036,0.0574
56,0,1,0,-0.016,0.362,0.000,0.000,0,0,-0.000,0.150,0.000,0,1.000,0,0,0.0576,0.2511,-0.0035,0.0574
57,0,1,0,-0.047,0.630,0.000,0.000,0,0,-0.000,0.507,0.000,0,1.000,0,0,0.0576,0.2514,-0.0034,0.0574
58,0,1,0,-0.063,0.638,0.000,0.000,0,0,-0.000,0.517,0.000,0,1.000,0,0,0.0576,0.2519,-0.0031,0.0574
59,0,1,0,-0.063,0.638,0.000,0.000,0,0,-0.000,0.517,0.000,0,1.000,0,0,0.0576,0.2524,-0.0028,0.0574
60,0,1,0,-0.063,0.638,0.000,0.000,0,0,-0.000,0.517,0.000,0,1.000,0,0,0.0576,0.2529,-0.0026,0.0574
61,0,1,0,-0.063,0.638,0.000,0.000,0,0,-0.000,0.517,0.000,0,1.000,0,0,0.0576,0.2534,-0.0023,0.0574
62,0,1,0,-0.063,0.638,0.000,0.000,0,0,-0.000,0.517,0.000,0,1.000,0,0,0.0576,0.2539,-0.0020,0.0573
63,0,1,0,-0.063,0.638,0.000,0.000,0,0,-0.000,0.517,0.000,0,1.000,0,0,0.0576,0.2544,-0.0018,0.0573
64,0,1,0,-0.063,0.622,0.000,0.000,0,0,-0.000,0.496,0.000,0,1.000,0,0,0.0576,0.2549,-0.0016,0.0573
65,0,1,0,-0.071,0.079,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2550,-0.0016,0.0573
66,0,1,0,-0.016,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2550,-0.0016,0.0573
67,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2550,-0.0016,0.0573
68,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2550,-0.0016,0.0573
69,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2550,-0.0016,0.0573
70,0,1,0,-0.685,0.142,0.000,0.000,0,0,0.580,0.000,0.000,0,1.000,0,0,0.0576,0.2552,-0.0015,0.0573
71,0,1,0,0.024,-0.063,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0573
72,0,1,0,0.024,-0.055,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0573
73,0,1,0,-0.008,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0573
74,0,1,0,0.000,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0573
75,0,1,0,-0.016,-0.024,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0573
76,0,1,0,-0.016,-0.024,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0573
77,0,1,0,-0.016,-0.024,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0573
78,0,1,0,-0.055,0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0573
79,0,1,0,-0.055,0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0573
80,0,1,0,-0.095,0.055,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0573
81,0,1,0,-0.158,0.063,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2556,-0.0015,0.0574
82,0,1,0,-0.150,0.063,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
83,0,1,0,-0.134,0.063,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
84,0,1,0,-0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
85,0,1,0,0.000,-0.024,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
86,0,1,0,0.024,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
87,0,1,0,-0.039,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
88,0,1,0,-0.047,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
89,0,1,0,0.008,-0.024,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
90,0,1,0,-0.016,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
91,0,1,0,-0.016,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
92,0,1,0,-0.055,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
93,0,1,0,-0.055,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
94,0,1,0,0.000,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
95,0,1,0,0.047,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
96,0,1,0,0.063,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
97,0,1,0,0.063,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
98,0,1,0,0.063,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
99,0,1,0,0.079,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
100,0,1,0,0.394,-0.110,0.000,0.000,0,0,-0.192,0.000,0.000,0,1.000,0,0,0.0576,0.2555,-0.0015,0.0574
101,0,1,0,0.661,-0.158,0.000,0.000,0,0,-0.549,0.000,0.000,0,1.000,0,0,0.0576,0.2552,-0.0016,0.0573
102,0,1,0,0.717,-0.173,0.000,0.000,0,0,-0.622,0.000,0.000,0,1.000,0,0,0.0576,0.2546,-0.0018,0.0572
103,0,1,0,0.307,-0.173,0.000,0.000,0,0,-0.076,0.000,0.000,0,1.000,0,0,0.0576,0.2539,-0.0021,0.0571
