step,ep,r1,l1,raw_ly,raw_lx,raw_r2,raw_l2,r2_ready,l2_ready,act0,act1,act2,contact,progress,paused,shielded,cmd_z,meas_x,meas_y,meas_z
0,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2578,-0.0043,0.0619
1,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2587,-0.0040,0.0619
2,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2595,-0.0037,0.0620
3,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2603,-0.0034,0.0620
4,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2611,-0.0030,0.0621
5,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2618,-0.0028,0.0622
6,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2625,-0.0027,0.0624
7,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2631,-0.0026,0.0626
8,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2637,-0.0025,0.0627
9,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2644,-0.0024,0.0629
10,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2650,-0.0024,0.0631
11,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2656,-0.0023,0.0633
12,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2661,-0.0023,0.0635
13,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2667,-0.0022,0.0637
14,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2673,-0.0021,0.0639
15,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2678,-0.0021,0.0640
16,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2684,-0.0020,0.0642
17,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2689,-0.0020,0.0643
18,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2695,-0.0019,0.0644
19,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2701,-0.0019,0.0646
20,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2707,-0.0018,0.0647
21,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2713,-0.0018,0.0648
22,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2718,-0.0018,0.0649
23,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2723,-0.0018,0.0650
24,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2729,-0.0017,0.0651
25,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2734,-0.0017,0.0652
26,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2740,-0.0016,0.0653
27,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2745,-0.0015,0.0654
28,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2751,-0.0015,0.0655
29,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2757,-0.0014,0.0656
30,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2762,-0.0014,0.0657
31,0,0,0,0.000,0.000,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2767,-0.0013,0.0658
32,0,0,0,0.000,0.000,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2772,-0.0013,0.0659
33,0,0,0,0.000,0.000,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2777,-0.0012,0.0660
34,0,0,0,0.000,0.000,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2783,-0.0011,0.0661
35,0,0,0,0.000,0.000,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2787,-0.0011,0.0662
36,0,0,0,0.000,0.000,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2793,-0.0010,0.0663
37,0,0,0,0.000,0.000,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2797,-0.0010,0.0664
38,0,0,0,0.000,0.000,0.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2802,-0.0009,0.0665
39,0,0,0,0.000,0.000,0.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2807,-0.0009,0.0666
40,0,0,0,0.000,0.000,0.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2811,-0.0008,0.0667
41,0,0,0,0.000,0.000,0.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2816,-0.0008,0.0668
42,0,0,0,0.000,0.000,0.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2821,-0.0007,0.0669
43,0,0,0,0.000,0.000,0.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2825,-0.0007,0.0669
44,0,0,0,0.000,0.000,1.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2830,-0.0007,0.0670
45,0,0,0,0.000,0.000,1.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2834,-0.0006,0.0671
46,0,0,0,0.000,0.000,1.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2839,-0.0006,0.0672
47,0,0,0,0.000,0.000,1.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2843,-0.0005,0.0673
48,0,0,0,0.000,0.000,1.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2848,-0.0005,0.0673
49,0,0,0,0.000,0.000,1.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2853,-0.0005,0.0674
50,0,0,0,0.000,0.000,1.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2857,-0.0005,0.0675
51,0,0,0,0.000,0.000,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2861,-0.0004,0.0675
52,0,0,0,0.000,0.000,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2866,-0.0004,0.0676
53,0,0,0,0.000,0.000,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2870,-0.0003,0.0677
54,0,0,0,0.000,0.000,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2874,-0.0003,0.0678
55,0,0,0,0.000,0.000,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0619,0.2878,-0.0003,0.0678
56,0,1,0,0.000,0.000,-1.000,-1.000,1,1,-0.000,0.000,0.000,0,0.333,0,0,0.0604,0.2804,-0.0014,0.0665
57,0,1,0,0.000,0.000,-1.000,-1.000,1,1,-0.000,0.000,0.000,0,0.667,0,0,0.0590,0.2725,-0.0023,0.0639
58,0,1,0,0.000,0.000,-1.000,-1.000,1,1,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2641,-0.0032,0.0619
59,0,1,0,0.000,0.000,-1.000,-1.000,1,1,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2577,-0.0035,0.0599
60,0,1,0,0.000,0.000,-1.000,-1.000,1,1,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2523,-0.0038,0.0585
