step,ep,r1,l1,raw_ly,raw_lx,raw_r2,raw_l2,r2_ready,l2_ready,act0,act1,act2,contact,progress,paused,shielded,cmd_z,meas_x,meas_y,meas_z
0,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2494,-0.0046,0.0624
1,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0050,0.0623
2,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0050,0.0622
3,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0051,0.0622
4,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0051,0.0622
5,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0051,0.0622
6,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0051,0.0622
7,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0051,0.0622
8,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0051,0.0622
9,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0051,0.0622
10,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0051,0.0622
11,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0051,0.0622
12,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0051,0.0622
13,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2496,-0.0051,0.0622
14,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
15,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
16,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
17,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
18,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
19,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
20,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
21,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
22,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
23,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
24,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
25,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
26,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
27,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
28,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
29,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
30,0,0,0,-0.008,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
31,0,0,0,0.016,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
32,0,0,0,0.016,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
33,0,0,0,0.016,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
34,0,0,0,0.016,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
35,0,0,0,0.008,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0623,0.2497,-0.0051,0.0622
36,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.200,0,0,0.0614,0.2497,-0.0050,0.0622
37,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.400,0,0,0.0605,0.2495,-0.0050,0.0613
38,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.600,0,0,0.0595,0.2493,-0.0048,0.0603
39,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.800,0,0,0.0586,0.2491,-0.0047,0.0594
40,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0585
41,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2489,-0.0045,0.0577
42,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2489,-0.0045,0.0576
43,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2489,-0.0045,0.0576
44,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0045,0.0577
45,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
46,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
47,0,1,0,0.000,-0.024,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
48,0,1,0,0.000,0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2490,-0.0046,0.0577
49,0,1,0,-0.173,0.449,0.000,0.000,0,0,-0.000,0.265,0.000,0,1.000,0,0,0.0576,0.2490,-0.0045,0.0577
50,0,1,0,-0.213,0.543,0.000,0.000,0,0,-0.000,0.391,0.000,0,1.000,0,0,0.0576,0.2490,-0.0038,0.0578
51,0,1,0,-0.032,0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0034,0.0579
52,0,1,0,-0.008,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0579
53,0,1,0,0.024,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0579
54,0,1,0,0.024,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0579
55,0,1,0,-0.008,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0579
56,0,1,0,-0.008,-0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
57,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
58,0,1,0,-0.016,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
59,0,1,0,-0.016,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
60,0,1,0,-0.016,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
61,0,1,0,-0.039,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
62,0,1,0,-0.047,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
63,0,1,0,0.008,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
64,0,1,0,-0.024,0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
65,0,1,0,-0.024,0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
66,0,1,0,0.008,-0.055,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
67,0,1,0,0.016,-0.055,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
68,0,1,0,0.016,-0.055,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
69,0,1,0,0.016,-0.055,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
70,0,1,0,-0.032,-0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
71,0,1,0,-0.008,-0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
72,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
73,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
74,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
75,0,1,0,0.000,-0.039,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
76,0,1,0,0.000,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
77,0,1,0,-0.016,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
78,0,1,0,0.016,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
79,0,1,0,0.000,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
80,0,1,0,0.000,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2491,-0.0032,0.0578
