step,ep,r1,l1,raw_ly,raw_lx,raw_r2,raw_l2,r2_ready,l2_ready,act0,act1,act2,contact,progress,paused,shielded,cmd_z,meas_x,meas_y,meas_z
0,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2496,-0.0054,0.0599
1,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0058,0.0600
2,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
3,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
4,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
5,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
6,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
7,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
8,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
9,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
10,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
11,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
12,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
13,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
14,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
15,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
16,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
17,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
18,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
19,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
20,0,0,0,0.016,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0.000,0,0,0.0598,0.2497,-0.0057,0.0599
21,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.200,0,0,0.0593,0.2497,-0.0057,0.0598
22,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.400,0,0,0.0589,0.2496,-0.0054,0.0594
23,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.600,0,0,0.0585,0.2495,-0.0051,0.0589
24,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.800,0,0,0.0581,0.2494,-0.0049,0.0585
25,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2493,-0.0046,0.0580
26,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2493,-0.0044,0.0576
27,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0044,0.0576
28,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0044,0.0576
29,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0044,0.0576
30,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0044,0.0576
31,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2493,-0.0045,0.0576
32,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0045,0.0576
33,0,1,0,0.016,0.000,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0045,0.0576
34,0,1,0,0.016,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0045,0.0576
35,0,1,0,0.016,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0045,0.0576
36,0,1,0,0.016,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0045,0.0576
37,0,1,0,0.016,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0045,0.0576
38,0,1,0,0.016,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2492,-0.0045,0.0576
