step,ep,r1,l1,raw_ly,raw_lx,raw_r2,raw_l2,r2_ready,l2_ready,act0,act1,act2,contact,progress,paused,shielded,meas_x,meas_y,meas_z
0,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,0.333,0,0,0.2493,-0.0049,0.0617
1,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,0.667,0,0,0.2489,-0.0043,0.0577
2,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0046,0.0569
3,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0571
4,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
5,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
6,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
7,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
8,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
9,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
10,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
11,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
12,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
13,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
14,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
15,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
16,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
17,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
18,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
19,0,0,0,0.000,-0.032,0.000,0.000,0,0,0.000,0.000,0.000,0,1.000,0,0,0.2490,-0.0045,0.0573
