step,ep,r1,l1,raw_ly,raw_lx,raw_r2,raw_l2,r2_ready,l2_ready,act0,act1,act2,contact,progress,paused,shielded,cmd_z,meas_x,meas_y,meas_z
0,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2520,-0.0083,0.0590
1,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2522,-0.0083,0.0590
2,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2523,-0.0082,0.0591
3,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2525,-0.0082,0.0592
4,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2526,-0.0082,0.0592
5,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2527,-0.0082,0.0592
6,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2528,-0.0082,0.0592
7,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2529,-0.0081,0.0593
8,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2530,-0.0081,0.0593
9,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2531,-0.0081,0.0593
10,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2531,-0.0081,0.0593
11,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2532,-0.0080,0.0593
12,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2533,-0.0080,0.0593
13,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2533,-0.0080,0.0593
14,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2534,-0.0080,0.0593
15,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2534,-0.0079,0.0593
16,0,0,0,0.000,-0.039,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2535,-0.0079,0.0593
17,0,0,0,0.000,-0.039,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2535,-0.0079,0.0593
18,0,0,0,0.000,-0.039,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2536,-0.0079,0.0593
19,0,0,0,0.000,-0.039,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2536,-0.0078,0.0593
20,0,0,0,0.000,-0.039,0.000,1.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2536,-0.0078,0.0593
21,0,0,0,0.000,-0.039,0.000,-0.748,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2537,-0.0078,0.0593
22,0,0,0,0.000,-0.039,0.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2537,-0.0078,0.0593
23,0,0,0,0.000,-0.039,0.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2537,-0.0078,0.0593
24,0,0,0,0.000,-0.039,0.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2538,-0.0077,0.0593
25,0,0,0,0.000,-0.039,0.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2538,-0.0077,0.0593
26,0,0,0,0.000,-0.039,1.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2538,-0.0077,0.0593
27,0,0,0,0.000,-0.039,1.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2539,-0.0077,0.0593
28,0,0,0,0.000,-0.039,1.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2539,-0.0077,0.0593
29,0,0,0,0.000,-0.039,1.000,-1.000,0,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2539,-0.0077,0.0593
30,0,0,0,0.000,-0.039,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2539,-0.0076,0.0593
31,0,0,0,0.000,-0.039,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2540,-0.0076,0.0593
32,0,0,0,0.000,-0.039,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2540,-0.0076,0.0593
33,0,0,0,0.000,-0.039,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2540,-0.0076,0.0593
34,0,0,0,0.000,-0.039,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2540,-0.0076,0.0593
35,0,0,0,0.000,-0.039,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2541,-0.0076,0.0593
36,0,0,0,0.000,-0.039,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2541,-0.0076,0.0593
37,0,0,0,0.000,-0.039,-1.000,-1.000,1,1,0.000,0.000,0.000,1,0.000,1,1,0.0599,0.2541,-0.0076,0.0593
