step,ep,r1,l1,raw_ly,raw_lx,raw_r2,raw_l2,r2_ready,l2_ready,act0,act1,act2,contact,progress,paused,shielded,cmd_z,meas_x,meas_y,meas_z
0,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2476,-0.0062,0.0605
1,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2473,-0.0071,0.0600
2,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2473,-0.0079,0.0598
3,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2472,-0.0087,0.0599
4,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2470,-0.0094,0.0600
5,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2468,-0.0102,0.0601
6,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2466,-0.0109,0.0601
7,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2464,-0.0116,0.0602
8,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2461,-0.0124,0.0602
9,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2458,-0.0131,0.0602
10,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2456,-0.0138,0.0602
11,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2454,-0.0145,0.0602
12,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2451,-0.0153,0.0602
13,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2449,-0.0161,0.0602
14,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2446,-0.0168,0.0602
15,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2443,-0.0177,0.0602
16,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2440,-0.0185,0.0603
17,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2436,-0.0194,0.0603
18,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2433,-0.0203,0.0603
19,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2430,-0.0212,0.0603
20,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2426,-0.0222,0.0603
21,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2409,-0.0231,0.0601
22,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2392,-0.0241,0.0596
23,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2376,-0.0252,0.0594
24,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2361,-0.0263,0.0594
25,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2344,-0.0273,0.0591
26,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2328,-0.0281,0.0585
27,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2311,-0.0291,0.0578
28,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2295,-0.0300,0.0571
29,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2278,-0.0310,0.0563
30,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2262,-0.0318,0.0556
31,0,0,0,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2245,-0.0327,0.0549
32,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2228,-0.0337,0.0541
33,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2212,-0.0345,0.0534
34,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2195,-0.0355,0.0527
35,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2179,-0.0364,0.0519
36,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2161,-0.0373,0.0511
37,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2146,-0.0382,0.0504
38,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2129,-0.0391,0.0497
39,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2117,-0.0400,0.0491
40,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2112,-0.0408,0.0489
41,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2108,-0.0415,0.0493
42,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2100,-0.0420,0.0494
43,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2094,-0.0422,0.0493
44,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2088,-0.0426,0.0493
45,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2082,-0.0433,0.0492
46,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2078,-0.0439,0.0491
47,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2073,-0.0445,0.0489
48,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2068,-0.0452,0.0488
49,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2064,-0.0458,0.0487
50,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2059,-0.0464,0.0487
51,0,0,0,0.000,-0.047,0.000,0.000,0,0,0.000,0.000,0.000,1,0.000,1,1,0.0612,0.2055,-0.0470,0.0486
52,0,1,0,0.000,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.333,0,0,0.0600,0.2075,-0.0453,0.0488
53,0,1,0,0.000,-0.047,0.000,0.000,0,0,-0.000,0.000,0.000,0,0.667,0,0,0.0588,0.2090,-0.0440,0.0487
54,0,1,0,0.000,0.142,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2103,-0.0425,0.0487
55,0,1,0,-0.142,0.992,0.000,0.000,0,0,-0.000,0.989,0.000,0,1.000,0,0,0.0576,0.2111,-0.0416,0.0490
56,0,1,0,-0.228,1.000,0.000,0.000,0,0,-0.000,1.000,0.000,0,1.000,0,0,0.0576,0.2115,-0.0408,0.0494
57,0,1,0,-0.717,0.772,0.000,0.000,0,0,0.622,0.696,0.000,0,1.000,0,0,0.0576,0.2135,-0.0393,0.0497
58,0,1,0,-0.843,0.165,0.000,0.000,0,0,0.790,0.000,0.000,0,1.000,0,0,0.0576,0.2145,-0.0382,0.0495
59,0,1,0,-1.000,-0.039,0.000,0.000,0,0,1.000,0.000,0.000,0,1.000,0,0,0.0576,0.2163,-0.0369,0.0495
60,0,1,0,-1.000,-0.039,0.000,0.000,0,0,1.000,0.000,0.000,0,1.000,0,0,0.0576,0.2175,-0.0360,0.0494
61,0,1,0,-1.000,-0.039,0.000,0.000,0,0,1.000,0.000,0.000,0,1.000,0,0,0.0576,0.2194,-0.0348,0.0493
62,0,1,0,-0.024,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2208,-0.0339,0.0492
63,0,1,0,0.016,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2223,-0.0330,0.0491
64,0,1,0,0.016,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2237,-0.0321,0.0491
65,0,1,0,0.000,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2250,-0.0315,0.0494
66,0,1,0,-0.008,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2263,-0.0310,0.0498
67,0,1,0,-0.008,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2273,-0.0306,0.0502
68,0,1,0,-0.008,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2285,-0.0302,0.0507
69,0,1,0,0.016,-0.055,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2296,-0.0298,0.0513
70,0,1,0,0.024,-0.063,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2307,-0.0294,0.0518
71,0,1,0,0.016,-0.063,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2316,-0.0291,0.0522
72,0,1,0,0.024,-0.063,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2327,-0.0287,0.0528
73,0,1,0,0.016,-0.063,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2336,-0.0284,0.0532
74,0,1,0,-0.032,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2345,-0.0280,0.0537
75,0,1,0,-0.032,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2352,-0.0277,0.0541
76,0,1,0,-0.024,-0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2361,-0.0274,0.0545
77,0,1,0,-0.039,0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2369,-0.0270,0.0549
78,0,1,0,-0.032,0.008,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2377,-0.0267,0.0553
79,0,1,0,-0.024,-0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2383,-0.0264,0.0556
80,0,1,0,-0.032,-0.016,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2391,-0.0261,0.0560
81,0,1,0,-0.032,-0.024,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2398,-0.0258,0.0563
82,0,1,0,-0.016,-0.032,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2405,-0.0255,0.0566
83,0,1,0,-0.016,-0.071,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2411,-0.0252,0.0569
84,0,1,0,-0.016,-0.102,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2417,-0.0249,0.0572
85,0,1,0,-0.016,-0.102,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2423,-0.0246,0.0575
86,0,1,0,-0.016,-0.102,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2429,-0.0243,0.0577
87,0,1,0,-0.016,-0.102,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2435,-0.0241,0.0580
88,0,1,0,-0.016,-0.102,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2441,-0.0235,0.0585
89,0,1,0,0.000,-0.063,0.000,0.000,0,0,-0.000,0.000,0.000,0,1.000,0,0,0.0576,0.2445,-0.0233,0.0585
90,0,0,0,0.000,-0.055,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2434,-0.0251,0.0585
91,0,0,0,0.008,-0.055,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2424,-0.0264,0.0583
92,0,0,0,0.016,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2415,-0.0272,0.0573
93,0,0,0,0.024,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2404,-0.0279,0.0566
94,0,0,0,0.008,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2393,-0.0285,0.0558
95,0,0,0,0.008,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2383,-0.0290,0.0552
96,0,0,0,0.016,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2372,-0.0296,0.0545
97,0,0,0,0.016,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2362,-0.0300,0.0539
98,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2351,-0.0306,0.0534
99,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2340,-0.0311,0.0528
100,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2328,-0.0317,0.0522
101,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2316,-0.0323,0.0517
102,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2303,-0.0330,0.0512
103,0,0,0,0.000,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2291,-0.0337,0.0507
104,0,0,0,-0.008,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2278,-0.0343,0.0502
105,0,0,0,-0.016,-0.039,0.000,0.000,0,0,0.000,0.000,0.000,1,1.000,1,1,0.0576,0.2265,-0.0350,0.0497
